sold_price_eur,asking_price_eur,bed_no,bath_no,size,house_type,region,detached,semi_d,terrace,apartment,dublin,cork,galway,dub_inner_ring,dub_outer_ring,urban_south,other
135000,135000,3,2,NA,Terrace,other,0,0,1,0,0,0,0,0,0,0,1
330000,285000,2,2,67,Apartment,galway,0,0,0,1,0,0,1,0,0,0,0
335000,350000,4,3,133,Semi-D,cork,0,1,0,0,0,1,0,0,0,0,0
235000,235000,4,3,NA,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
374449,425000,4,5,253,Detached,other,1,0,0,0,0,0,0,0,0,0,1
304000,215000,1,1,33,Apartment,dublin,0,0,0,1,1,0,0,0,0,0,0
215000,225000,3,3,100,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
211500,205000,3,1,80,Terrace,cork,0,0,1,0,0,1,0,0,0,0,0
418502,475000,3,3,110,Semi-D,dub_inner_ring,0,1,0,0,0,0,0,1,0,0,0
227500,205000,2,1,NA,Apartment,cork,0,0,0,1,0,1,0,0,0,0,0
226000,226000,2,NA,NA,Apartment,dublin,0,0,0,1,1,0,0,0,0,0,0
395000,360000,3,4,116,Terrace,galway,0,0,1,0,0,0,1,0,0,0,0
395000,400000,4,2,132,Detached,other,1,0,0,0,0,0,0,0,0,0,1
285000,275000,3,3,116,Semi-D,cork,0,1,0,0,0,1,0,0,0,0,0
275000,250000,2,2,63,Apartment,dublin,0,0,0,1,1,0,0,0,0,0,0
181000,175000,2,1,52,Terrace,cork,0,0,1,0,0,1,0,0,0,0,0
292000,295000,5,3,121,Semi-D,galway,0,1,0,0,0,0,1,0,0,0,0
245000,216000,3,2,84,Semi-D,galway,0,1,0,0,0,0,1,0,0,0,0
240000,235000,3,3,114,Terrace,other,0,0,1,0,0,0,0,0,0,0,1
640000,595000,3,2,93,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
586000,550000,5,2,122,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
240000,245000,4,3,163,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
210000,210000,3,3,94,Semi-D,urban_south,0,1,0,0,0,0,0,0,0,1,0
375000,350000,2,1,56,Apartment,dublin,0,0,0,1,1,0,0,0,0,0,0
250000,230000,4,1,106,Semi-D,galway,0,1,0,0,0,0,1,0,0,0,0
175000,170000,4,1,NA,Semi-D,cork,0,1,0,0,0,1,0,0,0,0,0
120000,120000,2,1,65,Apartment,other,0,0,0,1,0,0,0,0,0,0,1
265000,270000,3,3,145,Terrace,other,0,0,1,0,0,0,0,0,0,0,1
337000,295000,3,3,92,Semi-D,cork,0,1,0,0,0,1,0,0,0,0,0
550000,515000,4,4,176,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
369000,360000,2,2,NA,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
290000,290000,4,3,126,Semi-D,dub_inner_ring,0,1,0,0,0,0,0,1,0,0,0
460000,495000,6,4,276,Detached,urban_south,1,0,0,0,0,0,0,0,0,1,0
250000,250000,3,3,NA,Semi-D,dub_outer_ring,0,1,0,0,0,0,0,0,1,0,0
750000,675000,4,2,153,Detached,urban_south,1,0,0,0,0,0,0,0,0,1,0
295000,295000,4,3,NA,Detached,dub_outer_ring,1,0,0,0,0,0,0,0,1,0,0
230000,240000,3,1,88,Semi-D,dub_outer_ring,0,1,0,0,0,0,0,0,1,0,0
210000,210000,2,2,60,Apartment,dub_inner_ring,0,0,0,1,0,0,0,1,0,0,0
183000,159000,2,2,90,Apartment,other,0,0,0,1,0,0,0,0,0,0,1
370000,350000,4,2,118,Semi-D,urban_south,0,1,0,0,0,0,0,0,0,1,0
151000,140000,3,1,NA,Semi-D,cork,0,1,0,0,0,1,0,0,0,0,0
520000,520000,4,3,125,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
340000,349000,2,2,56,Terrace,cork,0,0,1,0,0,1,0,0,0,0,0
245000,210000,3,1,82,Semi-D,cork,0,1,0,0,0,1,0,0,0,0,0
166000,160000,3,3,100,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
130000,130000,3,3,105,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
490000,480000,3,2,83,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
285000,280000,3,2,103,Terrace,urban_south,0,0,1,0,0,0,0,0,0,1,0
240000,230000,3,2,NA,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
515418,585000,4,3,131,Detached,dub_inner_ring,1,0,0,0,0,0,0,1,0,0,0
486200,485000,2,1,77,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
280000,217500,3,1,NA,Semi-D,urban_south,0,1,0,0,0,0,0,0,0,1,0
247500,239000,3,2,NA,Semi-D,dub_outer_ring,0,1,0,0,0,0,0,0,1,0,0
98000,85000,2,1,NA,Terrace,other,0,0,1,0,0,0,0,0,0,0,1
358000,340000,4,2,90,Semi-D,cork,0,1,0,0,0,1,0,0,0,0,0
285000,275000,1,1,45,Apartment,dublin,0,0,0,1,1,0,0,0,0,0,0
270000,260000,5,3,139,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
198000,180000,3,2,85,Detached,dub_inner_ring,1,0,0,0,0,0,0,1,0,0,0
185000,160000,3,1,101,Terrace,urban_south,0,0,1,0,0,0,0,0,0,1,0
650000,650000,3,2,104,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
452000,375000,4,3,146,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
170500,155000,3,1,NA,Terrace,other,0,0,1,0,0,0,0,0,0,0,1
125000,125000,4,1,NA,Semi-D,dub_outer_ring,0,1,0,0,0,0,0,0,1,0,0
380000,395000,2,1,40,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
360000,330000,2,1,56,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
345000,325000,3,1,63,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
282500,269000,4,4,132,Apartment,urban_south,0,0,0,1,0,0,0,0,0,1,0
235000,235000,3,1,79,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
725000,600000,3,2,102,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
470922,435000,4,2,126,Semi-D,dub_inner_ring,0,1,0,0,0,0,0,1,0,0,0
